ID,Gender,Height,Wingspan,ElbowTip
1,M,73,71,19
2,M,74,73.5,19.5
3,M,72,72,19
4,M,73,73,19
5,M,70,71,18
6,F,65,64.5,17.5
7,M,69,70,18
8,M,70,68.75,17.5
9,M,70.7,67.75,18.75
10,M,71.25,73.5,16.5
11,M,63,65,17
12,F,65,68,17.5
13,M,65.3,68.5,18.8
14,F,65,64,17.5
15,M,74,74.5,20
16,F,65.7,68.9,17.3
17,M,71.7,74.8,18.9
18,M,72.8,72,19.7
19,M,74.8,78.7,20.5
20,M,72,69,19.5
21,F,69,65,18
22,M,71,64,18
